platform,workload,policy,run,energy_mj,delay_ms,frame_drop_pct,jitter_ms
phone,Web Browsing,Baseline,1,1220.9,29.8,,
phone,Web Browsing,Baseline,2,1246.5,30.2,,
phone,Web Browsing,Baseline,3,1191.1,30.5,,
phone,Web Browsing,Baseline,4,1280.3,31.4,,
phone,Web Browsing,Baseline,5,1184.9,28.2,,
phone,Web Browsing,Baseline,6,1185.0,30.1,,
phone,Web Browsing,Baseline,7,1104.2,29.7,,
phone,Web Browsing,Baseline,8,1157.0,28.9,,
phone,Web Browsing,Baseline,9,1191.6,29.5,,
phone,Web Browsing,Baseline,10,1238.5,31.7,,
phone,Web Browsing,Baseline,11,1219.1,29.8,,
phone,Web Browsing,Baseline,12,1242.7,30.2,,
phone,Web Browsing,Baseline,13,1191.8,30.5,,
phone,Web Browsing,Baseline,14,1274.0,31.3,,
phone,Web Browsing,Baseline,15,1186.2,28.3,,
phone,Web Browsing,Baseline,16,1186.1,30.1,,
phone,Web Browsing,Baseline,17,1111.8,29.7,,
phone,Web Browsing,Baseline,18,1160.4,29.0,,
phone,Web Browsing,Baseline,19,1192.4,29.6,,
phone,Web Browsing,Baseline,20,1235.5,31.5,,
phone,Web Browsing,Fixed,1,901.5,52.5,,
phone,Web Browsing,Fixed,2,880.9,50.0,,
phone,Web Browsing,Fixed,3,943.1,49.4,,
phone,Web Browsing,Fixed,4,878.7,47.1,,
phone,Web Browsing,Fixed,5,890.5,49.8,,
phone,Web Browsing,Fixed,6,866.9,48.7,,
phone,Web Browsing,Fixed,7,900.8,50.5,,
phone,Web Browsing,Fixed,8,915.9,50.1,,
phone,Web Browsing,Fixed,9,882.3,49.0,,
phone,Web Browsing,Fixed,10,939.4,52.9,,
phone,Web Browsing,Fixed,11,901.3,52.3,,
phone,Web Browsing,Fixed,12,882.3,50.0,,
phone,Web Browsing,Fixed,13,939.7,49.5,,
phone,Web Browsing,Fixed,14,880.5,47.3,,
phone,Web Browsing,Fixed,15,891.3,49.8,,
phone,Web Browsing,Fixed,16,869.4,48.8,,
phone,Web Browsing,Fixed,17,900.7,50.5,,
phone,Web Browsing,Fixed,18,914.7,50.1,,
phone,Web Browsing,Fixed,19,883.8,49.1,,
phone,Web Browsing,Fixed,20,936.3,52.6,,
phone,Web Browsing,LR,1,726.2,49.1,,
phone,Web Browsing,LR,2,820.8,47.6,,
phone,Web Browsing,LR,3,782.6,45.1,,
phone,Web Browsing,LR,4,826.4,50.3,,
phone,Web Browsing,LR,5,839.5,48.9,,
phone,Web Browsing,LR,6,784.4,43.0,,
phone,Web Browsing,LR,7,772.1,47.3,,
phone,Web Browsing,LR,8,726.7,46.7,,
phone,Web Browsing,LR,9,789.4,47.5,,
phone,Web Browsing,LR,10,732.0,44.4,,
phone,Web Browsing,LR,11,730.4,49.0,,
phone,Web Browsing,LR,12,817.5,47.5,,
phone,Web Browsing,LR,13,782.4,45.3,,
phone,Web Browsing,LR,14,822.7,50.0,,
phone,Web Browsing,LR,15,834.9,48.8,,
phone,Web Browsing,LR,16,783.9,43.4,,
phone,Web Browsing,LR,17,772.7,47.3,,
phone,Web Browsing,LR,18,730.9,46.8,,
phone,Web Browsing,LR,19,788.7,47.4,,
phone,Web Browsing,LR,20,735.8,44.6,,
phone,Web Browsing,UATimer,1,712.1,42.6,,
phone,Web Browsing,UATimer,2,788.9,44.1,,
phone,Web Browsing,UATimer,3,740.1,44.6,,
phone,Web Browsing,UATimer,4,784.7,48.2,,
phone,Web Browsing,UATimer,5,752.0,40.5,,
phone,Web Browsing,UATimer,6,729.2,46.6,,
