platform,workload,policy,run,energy_mj,delay_ms,frame_drop_pct,jitter_ms
phone,Web Browsing,Baseline,1,1206.0,29.8,,
phone,Web Browsing,Baseline,2,1230.7,30.2,,
phone,Web Browsing,Baseline,3,1174.3,30.5,,
phone,Web Browsing,Baseline,4,1262.6,31.4,,
phone,Web Browsing,Baseline,5,1166.2,28.1,,
phone,Web Browsing,Baseline,6,1170.1,30.1,,
phone,Web Browsing,Baseline,7,1088.4,29.7,,
phone,Web Browsing,Baseline,8,1140.2,28.9,,
phone,Web Browsing,Baseline,9,1173.9,29.5,,
phone,Web Browsing,Baseline,10,1219.8,31.6,,
phone,Web Browsing,Fixed,1,978.9,51.3,,
phone,Web Browsing,Fixed,2,957.8,48.8,,
phone,Web Browsing,Fixed,3,1019.6,48.2,,
phone,Web Browsing,Fixed,4,954.7,45.8,,
phone,Web Browsing,Fixed,5,966.0,48.5,,
phone,Web Browsing,Fixed,6,944.3,47.5,,
phone,Web Browsing,Fixed,7,977.7,49.3,,
phone,Web Browsing,Fixed,8,992.4,48.9,,
phone,Web Browsing,Fixed,9,958.3,47.7,,
phone,Web Browsing,Fixed,10,1014.9,51.6,,
phone,Web Browsing,LR,1,854.7,48.4,,
phone,Web Browsing,LR,2,948.5,46.8,,
phone,Web Browsing,LR,3,909.5,44.3,,
phone,Web Browsing,LR,4,952.5,49.4,,
phone,Web Browsing,LR,5,964.9,48.0,,
phone,Web Browsing,LR,6,912.9,42.3,,
phone,Web Browsing,LR,7,899.8,46.5,,
phone,Web Browsing,LR,8,853.6,45.9,,
phone,Web Browsing,LR,9,915.5,46.6,,
phone,Web Browsing,LR,10,857.4,43.5,,
phone,Web Browsing,UATimer,1,860.7,41.0,,
phone,Web Browsing,UATimer,2,936.9,42.4,,
phone,Web Browsing,UATimer,3,887.5,42.9,,
phone,Web Browsing,UATimer,4,931.5,46.4,,
phone,Web Browsing,UATimer,5,898.2,38.7,,
phone,Web Browsing,UATimer,6,877.8,45.0,,
phone,Web Browsing,UATimer,7,911.2,42.2,,
phone,Web Browsing,UATimer,8,939.8,40.6,,
phone,Web Browsing,UATimer,9,852.8,45.5,,
phone,Web Browsing,UATimer,10,877.7,47.9,,
phone,Video Playback,Baseline,1,1813.6,24.2,,
phone,Video Playback,Baseline,2,1772.8,23.6,,
phone,Video Playback,Baseline,3,1708.0,25.8,,
phone,Video Playback,Baseline,4,1841.8,26.6,,
phone,Video Playback,Baseline,5,1745.7,27.1,,
phone,Video Playback,Baseline,6,1779.3,27.0,,
phone,Video Playback,Baseline,7,1768.8,24.1,,
phone,Video Playback,Baseline,8,1818.0,26.3,,
phone,Video Playback,Baseline,9,1811.6,24.3,,
phone,Video Playback,Baseline,10,1703.4,23.2,,
phone,Video Playback,Fixed,1,1505.7,42.0,,
phone,Video Playback,Fixed,2,1466.3,37.9,,
phone,Video Playback,Fixed,3,1527.5,37.4,,
phone,Video Playback,Fixed,4,1433.9,41.2,,
phone,Video Playback,Fixed,5,1343.2,40.8,,
phone,Video Playback,Fixed,6,1441.7,40.2,,
phone,Video Playback,Fixed,7,1471.5,40.4,,
phone,Video Playback,Fixed,8,1517.0,38.5,,
phone,Video Playback,Fixed,9,1559.9,41.5,,
phone,Video Playback,Fixed,10,1525.8,42.3,,
phone,Video Playback,LR,1,1392.5,39.1,,
phone,Video Playback,LR,2,1354.1,34.8,,
phone,Video Playback,LR,3,1342.7,36.1,,
phone,Video Playback,LR,4,1273.2,38.0,,
phone,Video Playback,LR,5,1319.3,35.6,,
phone,Video Playback,LR,6,1293.7,38.0,,
phone,Video Playback,LR,7,1369.4,40.0,,
phone,Video Playback,LR,8,1349.2,39.5,,
phone,Video Playback,LR,9,1425.7,39.7,,
phone,Video Playback,LR,10,1222.3,39.8,,
phone,Video Playback,UATimer,1,1331.9,37.0,,
phone,Video Playback,UATimer,2,1333.5,36.9,,
phone,Video Playback,UATimer,3,1330.8,35.6,,
phone,Video Playback,UATimer,4,1214.1,36.1,,
phone,Video Playback,UATimer,5,1271.8,38.2,,
phone,Video Playback,UATimer,6,1298.8,36.4,,
phone,Video Playback,UATimer,7,1269.3,35.3,,
phone,Video Playback,UATimer,8,1313.4,33.6,,
phone,Video Playback,UATimer,9,1329.8,36.1,,
phone,Video Playback,UATimer,10,1251.7,31.9,,
phone,AI Inference,Baseline,1,2245.1,27.6,,
phone,AI Inference,Baseline,2,2153.4,27.7,,
phone,AI Inference,Baseline,3,2359.8,27.9,,
phone,AI Inference,Baseline,4,2207.6,25.9,,
phone,AI Inference,Baseline,5,2345.0,29.3,,
phone,AI Inference,Baseline,6,2293.9,28.1,,
phone,AI Inference,Baseline,7,2280.7,28.5,,
